header,elements,flag,reverse_flag,Q,a0,a1,a2,a3,a4,a5,a6
5,he4;al27;n;p30;;, , ,-2.643,6.09163,-30.667,0.0,5.40982,-0.265676,0.0,1.0
5,he4;al27;n;p30;;, , ,-2.643,11.3074,-30.667,0.0,0.311974,-2.02044,0.0,0.0
5,n;si28;he4;mg25;;, ,v,-2.654,41.3451,-30.7983,-53.416,8.01209,-2.64791,0.218637,0.333333
5,n;si28;he4;mg25;;,n,v,-2.654,48.7694,-30.7983,-53.415,-1.46489,1.7777,-0.903499,-0.666667
5,n;si29;he4;mg26;;,r,v,-0.034,16.235,-19.1246,0.0,-9.54056,4.71712,-0.461053,-1.5
5,n;si29;he4;mg26;;,n,v,-0.034,46.369,-0.394553,-53.505,0.045598,-0.194481,-0.0748153,-0.666667
5,n;p30;he4;al27;;, ,v,2.643,13.2288,0.0036935,0.0,0.311974,-2.02044,0.0,0.0
5,n;p30;he4;al27;;, ,v,2.643,8.01303,0.0036935,0.0,5.40982,-0.265676,0.0,1.0
6,he3;he3;p;p;he4;,n, ,12.859,24.7788,0.0,-12.277,-0.103699,-0.0649967,0.0168191,-0.666667
6,p;b11;he4;he4;he4;,r, ,8.682,-14.9395,-1.724,8.49175,27.3254,-3.72071,0.275516,-1.5
6,p;b11;he4;he4;he4;,n, ,8.682,28.6442,0.0,-12.097,-0.0496312,0.687736,-0.564229,-0.666667
9,p;p;he4;he3;he3;,n,v,-12.859,2.98257,-149.222,-12.277,-0.103699,-0.0649967,0.0168191,-2.16667
9,he4;he4;he4;p;b11;,r,v,-8.682,-36.7224,-102.474,8.49175,27.3254,-3.72071,0.275516,-3.0
9,he4;he4;he4;p;b11;,n,v,-8.682,6.8613,-100.75,-12.097,-0.0496312,0.687736,-0.564229,-2.16667
